fightId,date,location,weightClass,decisionMethod,fightLastRound,fightTime,fightTimeFormat,fightDetails,f1Name,f1Id,f1Result,f1ResultEncode,f1Knockdown,f1SigStrikesLandedTotal,f1SigStrikesAttTotal,f1SigStrikesPercentTotal,f1StrikesLandedTotal,f1StrikesAttTotal,f1TakedownLanded,f1TakedownAtt,f1TakedownPercent,f1SubmissionAtt,f1Rev,f1TimeControl,f1SigStrikesLanded,f1SigStrikesAtt,f1SigStrikesPercent,f1HeadSigStrikesLanded,f1HeadSigStrikesAtt,f1BodySigStrikesLanded,f1BodySigStrikesAtt,f1LegSigStrikesLanded,f1LegSigStrikesAtt,f1DistanceSigStrikesLanded,f1DistanceSigStrikesAtt,f1ClinchSigStrikesLanded,f1ClinchSigStrikesAtt,f1GroundSigStrikesLanded,f1GroundSigStrikesAtt,f2Name,f2Id,f2Result,f2ResultEncode,f2Knockdown,f2SigStrikesLandedTotal,f2SigStrikesAttTotal,f2SigStrikesPercentTotal,f2StrikesLandedTotal,f2StrikesAttTotal,f2TakedownLanded,f2TakedownAtt,f2TakedownPercent,f2SubmissionAtt,f2Rev,f2TimeControl,f2SigStrikesLanded,f2SigStrikesAtt,f2SigStrikesPercent,f2HeadSigStrikesLanded,f2HeadSigStrikesAtt,f2BodySigStrikesLanded,f2BodySigStrikesAtt,f2LegSigStrikesLanded,f2LegSigStrikesAtt,f2DistanceSigStrikesLanded,f2DistanceSigStrikesAtt,f2ClinchSigStrikesLanded,f2ClinchSigStrikesAtt,f2GroundSigStrikesLanded,f2GroundSigStrikesAtt
8887948f0c097cd8,"September 09, 1994","Charlotte, North Carolina, USA",Open Weight Bout, KO/TKO ,1,1:59,No Time Limit,Punches to Head On Ground,Keith Hackney,bf12aca029bfcc47,W,1,1,34,50,68%,36,52,0,0,None,0,0,None,34,50,68%,29,45,0,0,5,5,6,8,2,3,26,39,Emmanuel Yarborough,2299605af59fd309,L,0,0,1,5,20%,4,9,0,1,0%,0,0,None,1,5,20%,1,5,0,0,0,0,0,2,0,0,1,3
56315d5ac11594a5,"September 09, 1994","Charlotte, North Carolina, USA",Open Weight Bout, KO/TKO ,1,4:49,No Time Limit,Punches to Head From Half Guard      Submission to Strikes,Ken Shamrock,63b65af1c5cb02cb,W,1,0,8,9,88%,16,20,1,1,100%,0,0,None,8,9,88%,5,6,3,3,0,0,0,1,0,0,8,8,Christophe Leninger,7269329bd87eb479,L,0,0,1,2,50%,21,23,0,0,None,0,0,None,1,2,50%,1,2,0,0,0,0,1,2,0,0,0,0
ca837b002a318766,"September 09, 1994","Charlotte, North Carolina, USA",Open Weight Bout, KO/TKO ,1,0:46,No Time Limit,Punches to Head In Clinch,Harold Howard,a2b06ca02bca14c0,W,1,1,9,12,75%,12,15,0,1,0%,0,0,None,9,12,75%,9,12,0,0,0,0,1,4,4,4,4,4,Roland Payne,2e04a3b4a2011b97,L,0,0,3,4,75%,3,4,1,2,50%,0,0,None,3,4,75%,0,0,2,2,1,2,2,2,1,2,0,0
f65b000b7e450bcf,"September 09, 1994","Charlotte, North Carolina, USA",Open Weight Bout, Submission ,1,4:40,No Time Limit,Armbar From Bottom Guard,Royce Gracie,429e7d3725852ce9,W,1,0,2,6,33%,17,21,0,2,0%,1,1,None,2,6,33%,1,1,0,2,1,3,0,0,2,6,0,0,Kimo Leopoldo,08ae5cd9aef7ddd3,L,0,0,6,9,66%,6,10,1,1,100%,0,1,None,6,9,66%,3,6,2,2,1,1,0,1,3,3,3,5
5167a5aec41f8b6d,"September 09, 1994","Charlotte, North Carolina, USA",Open Weight Bout, Submission ,1,4:34,No Time Limit,Rear Naked Choke,Ken Shamrock,63b65af1c5cb02cb,W,1,0,4,4,100%,7,7,1,2,50%,1,0,None,4,4,100%,1,1,2,2,1,1,0,0,3,3,1,1,Felix Lee Mitchell,6cbb7661c3258617,L,0,0,3,3,100%,21,22,0,0,None,0,0,None,3,3,100%,0,0,1,1,2,2,0,0,3,3,0,0
323f543eb8abdb36,"September 09, 1994","Charlotte, North Carolina, USA",None, KO/TKO ,1,1:27,No Time Limit,Punches to Head From Mount      Submission to Strikes,Steve Jennum,ad047e3073a775f3,W,1,0,6,11,54%,7,13,1,1,100%,0,0,None,6,11,54%,6,11,0,0,0,0,1,2,0,0,5,9,Harold Howard,a2b06ca02bca14c0,L,0,0,2,6,33%,3,7,0,0,None,1,0,None,2,6,33%,2,6,0,0,0,0,1,4,1,1,0,1
61d9eff5fa4c8578,"September 09, 1994","Charlotte, North Carolina, USA",Women's Strawweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Livinha Souza,dab8cfbb6b1db10a,L,0,0,11,27,40%,51,71,3,6,50%,2,0,211,11,27,40%,7,23,3,3,1,1,6,20,3,5,2,2,Randa Markos,4a57ebb14315b251,W,1,0,65,96,67%,159,207,0,0,None,0,2,527,65,96,67%,55,85,7,8,3,3,29,55,20,25,16,16
acec5f4c6fee1ae2,"September 09, 1994","Charlotte, North Carolina, USA",Flyweight Bout, KO/TKO ,2,0:46,3 Rnd (5-5-5),Punches to Head From Back Control,Jeff Molina,008ea710276c9606,W,1,1,47,62,75%,106,131,0,0,None,0,0,206,47,62,75%,39,54,6,6,2,2,9,13,0,0,38,49,Daniel Da Silva,31bb0772f21cabd8,L,0,0,20,25,80%,31,37,0,2,0%,0,0,55,20,25,80%,7,11,7,8,6,6,14,16,0,1,6,8
6d7eecf4acecda2a,"September 09, 1994","Charlotte, North Carolina, USA",Lightweight Bout, KO/TKO ,1,2:47,3 Rnd (5-5-5),Punches to Head On Ground,Khama Worthy,78e501478a36a018,L,0,0,11,21,52%,11,21,0,0,None,0,0,00,11,21,52%,5,13,1,1,5,7,11,21,0,0,0,0,Jai Herbert,4c88a1db5a46c6a4,W,1,1,24,46,52%,25,47,0,0,None,0,0,05,24,46,52%,21,40,1,1,2,5,19,39,2,2,3,5
85f920746c58d0a6,"September 09, 1994","Charlotte, North Carolina, USA",Middleweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Jamie Pickett,830f60497fab345a,W,1,0,47,96,48%,58,108,2,2,100%,0,0,157,47,96,48%,23,64,23,30,1,2,26,72,21,23,0,1,Laureano Staropoli,a12a8314adc1c1c9,L,0,0,25,62,40%,43,80,1,9,11%,0,0,326,25,62,40%,14,48,8,11,3,3,19,54,6,8,0,0
