fightId,date,location,weightClass,decisionMethod,fightLastRound,fightTime,fightTimeFormat,fightDetails,f1Name,f1Id,f1Result,f1ResultEncode,f1Knockdown,f1SigStrikesLandedTotal,f1SigStrikesAttTotal,f1SigStrikesPercentTotal,f1StrikesLandedTotal,f1StrikesAttTotal,f1TakedownLanded,f1TakedownAtt,f1TakedownPercent,f1SubmissionAtt,f1Rev,f1TimeControl,f1SigStrikesLanded,f1SigStrikesAtt,f1SigStrikesPercent,f1HeadSigStrikesLanded,f1HeadSigStrikesAtt,f1BodySigStrikesLanded,f1BodySigStrikesAtt,f1LegSigStrikesLanded,f1LegSigStrikesAtt,f1DistanceSigStrikesLanded,f1DistanceSigStrikesAtt,f1ClinchSigStrikesLanded,f1ClinchSigStrikesAtt,f1GroundSigStrikesLanded,f1GroundSigStrikesAtt,f2Name,f2Id,f2Result,f2ResultEncode,f2Knockdown,f2SigStrikesLandedTotal,f2SigStrikesAttTotal,f2SigStrikesPercentTotal,f2StrikesLandedTotal,f2StrikesAttTotal,f2TakedownLanded,f2TakedownAtt,f2TakedownPercent,f2SubmissionAtt,f2Rev,f2TimeControl,f2SigStrikesLanded,f2SigStrikesAtt,f2SigStrikesPercent,f2HeadSigStrikesLanded,f2HeadSigStrikesAtt,f2BodySigStrikesLanded,f2BodySigStrikesAtt,f2LegSigStrikesLanded,f2LegSigStrikesAtt,f2DistanceSigStrikesLanded,f2DistanceSigStrikesAtt,f2ClinchSigStrikesLanded,f2ClinchSigStrikesAtt,f2GroundSigStrikesLanded,f2GroundSigStrikesAtt
0a0beb5aa9810de4,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Women's Flyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Kay Hansen,4100c7a09497ad41,L,0,0,44,101,43%,52,112,1,7,14%,0,0,83,44,101,43%,31,81,9,15,4,5,41,96,3,4,0,1,Jasmine Jasudavicius,a9e260472d321361,W,1,0,50,110,45%,99,165,2,3,66%,0,1,364,50,110,45%,37,89,13,21,0,0,27,79,8,13,15,18
4047c2e259529179,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",None, Submission ,1,2:25,3 Rnd (5-5-5),Armbar From Guard,Silvana Gomez Juarez,b4880ef2f838d4e1,L,0,1,10,18,55%,10,18,0,0,None,0,0,71,10,18,55%,9,16,0,0,1,2,3,6,0,0,7,12,Vanessa Demopoulos,2c483cf443f38ece,W,1,0,4,12,33%,4,12,0,0,None,2,0,00,4,12,33%,0,4,2,4,2,4,4,12,0,0,0,0
5da7168ac2ff0e1d,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight Bout, KO/TKO ,1,3:15,3 Rnd (5-5-5),Punches to Head From Back Control,Matt Frevola,dccb63727f2f5f74,W,1,4,60,101,59%,71,114,0,0,None,0,0,67,60,101,59%,56,93,3,7,1,1,11,27,6,15,43,59,Genaro Valdez,cda1099995b46cc2,L,0,0,10,38,26%,10,38,0,1,0%,0,0,08,10,38,26%,9,36,0,0,1,2,7,27,3,11,0,0
9687021e5c4d092a,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Tony Gravely,601964f9654f911a,W,1,0,46,99,46%,66,132,11,15,73%,0,0,688,46,99,46%,36,87,4,6,6,6,24,50,4,7,18,42,Saimon Oliveira,72ea1984c52019b5,L,0,0,35,71,49%,50,87,0,0,None,4,0,15,35,71,49%,21,53,9,13,5,5,27,62,8,9,0,0
0669231ebe3dd560,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight Bout, KO/TKO ,1,2:59,3 Rnd (5-5-5),Punch to Head At Distance,Jack Della Maddalena,6b453bc35a823c3f,W,1,1,43,81,53%,43,81,0,0,None,0,0,01,43,81,53%,38,75,5,6,0,0,40,78,0,0,3,3,Pete Rodriguez,776d4262c4da38bf,L,0,0,25,69,36%,25,69,0,0,None,0,0,00,25,69,36%,12,47,6,14,7,8,25,69,0,0,0,0
44a55ba1de2b30e2,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Raoni Barcelos,b9f28e7045fdfce7,L,0,0,134,277,48%,134,277,1,7,14%,0,0,15,134,277,48%,107,244,10,14,17,19,125,267,8,8,1,2,Victor Henry,eb8d8c2a95cfccb8,W,1,0,181,352,51%,222,397,0,1,0%,0,0,97,181,352,51%,102,252,64,83,15,17,163,325,18,27,0,0
453283e947919ff7,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight Bout, KO/TKO ,1,4:06,3 Rnd (5-5-5),Punches to Head On Ground,Michael Morales,c32aeb1a59e6272d,W,1,1,26,42,61%,28,44,0,1,0%,0,1,65,26,42,61%,23,39,0,0,3,3,12,24,0,0,14,18,Trevin Giles,b27a1fcb56a3035a,L,0,0,8,15,53%,8,15,1,4,25%,1,0,72,8,15,53%,3,10,1,1,4,4,8,15,0,0,0,0
80f65ee9b6f8d63b,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",None, Submission ,1,0:47,3 Rnd (5-5-5),Guillotine Choke In Clinch,Cody Stamann,bf7ad5628363eec9,L,0,0,1,4,25%,1,4,0,2,0%,0,0,10,1,4,25%,1,4,0,0,0,0,1,4,0,0,0,0,Said Nurmagomedov,0fd5f4b838e890cc,W,1,0,7,13,53%,7,13,0,1,0%,1,0,02,7,13,53%,4,9,1,2,2,2,7,13,0,0,0,0
5ba543efdce072f5,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Michel Pereira,595db60957de51d3,W,1,0,107,202,52%,112,209,1,4,25%,0,0,44,107,202,52%,49,122,44,66,14,14,96,188,11,14,0,0,Andre Fialho,33efaf2d0941cfcf,L,0,0,45,135,33%,48,138,0,0,None,0,0,45,45,135,33%,40,128,5,7,0,0,36,122,7,7,2,6
cddd3d4febe097f8,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",None, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),None,Brandon Moreno,792be9a24df82ed6,L,0,0,105,259,40%,106,260,1,2,50%,0,0,46,105,259,40%,71,214,18,27,16,18,100,252,5,7,0,0,Deiveson Figueiredo,aa72b0f831d0bfe5,W,1,3,86,169,50%,95,178,2,11,18%,0,0,138,86,169,50%,40,106,19,26,27,37,80,160,5,7,1,2
e786542667fdecf0,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",None, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),None,Francis Ngannou,8d03ce87ca14e778,W,1,0,43,104,41%,71,139,4,5,80%,0,1,509,43,104,41%,9,56,21,33,13,15,34,87,6,10,3,7,Ciryl Gane,787bb1f087ccff8a,L,0,0,63,91,69%,79,107,1,3,33%,3,0,171,63,91,69%,15,32,20,29,28,30,57,84,6,7,0,0
3a8c0158d910546d,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,TJ Brown,d31cbcdd7d69536d,W,1,0,58,99,58%,88,141,6,8,75%,3,2,459,58,99,58%,46,85,10,12,2,2,49,87,2,5,7,7,Charles Rosa,40093d1d2d78394e,L,0,0,46,107,42%,71,132,0,0,None,1,1,162,46,107,42%,21,76,5,10,20,21,42,99,1,2,3,6
7c2a02b5ea169b54,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Brian Kelleher,7be14eaed4c74856,W,1,1,38,77,49%,67,123,6,8,75%,0,0,386,38,77,49%,25,58,12,17,1,2,25,58,3,5,10,14,Kevin Croom,35b3772629e27a49,L,0,0,60,174,34%,83,206,0,1,0%,0,0,47,60,174,34%,36,141,11,16,13,17,58,168,2,6,0,0
3738135e4c9d8273,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Court McGee,523fa774700d7d3f,W,1,1,54,91,59%,76,113,5,11,45%,1,0,657,54,91,59%,30,63,17,21,7,7,46,81,4,6,4,4,Ramiz Brahimaj,3d074044a33825e7,L,0,0,32,62,51%,35,65,1,3,33%,1,0,30,32,62,51%,21,51,10,10,1,1,25,53,7,9,0,0
e8517ed0b49abc37,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Middleweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Jamie Pickett,830f60497fab345a,W,1,0,50,122,40%,54,126,2,4,50%,0,0,182,50,122,40%,22,86,19,24,9,12,40,108,10,14,0,0,Joseph Holmes,8d20d76af3f213ce,L,0,0,51,93,54%,59,101,0,2,0%,0,0,195,51,93,54%,30,65,13,19,8,9,41,82,10,11,0,0
8693027377658e61,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),None,Bill Algeo,9abc648e76c4493a,W,1,0,59,118,50%,112,176,2,2,100%,0,1,302,59,118,50%,44,90,10,22,5,6,32,85,17,23,10,10,Joanderson Brito,791c8437b341fba5,L,0,0,40,104,38%,46,110,2,4,50%,0,0,294,40,104,38%,24,83,5,9,11,12,39,97,1,6,0,1
b5b5156c713c5d47,"July 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates",None, KO/TKO ,1,3:47,3 Rnd (5-5-5),Punch to Body At Distance,Dakota Bush,3033c1c080672475,L,0,0,11,30,36%,11,30,2,3,66%,0,0,90,11,30,36%,8,25,2,3,1,2,8,27,2,2,1,1,Viacheslav Borshchev,19c591115a58982c,W,1,1,16,27,59%,17,28,0,0,None,0,1,28,16,27,59%,9,19,5,5,2,3,6,15,4,4,6,8
