urlEvent,locationEvent,dateEvent
http://ufcstats.com/event-details/b23388ff8ac6637b,"Orlando, Florida, USA","December 03, 2022"
http://ufcstats.com/event-details/f65a0eb902f9476b,"Las Vegas, Nevada, USA","December 10, 2022"
http://ufcstats.com/event-details/56ec58954158966a,"Las Vegas, Nevada, USA","December 17, 2022"
http://ufcstats.com/event-details/2e2cdb6e9eb84bb9,None,"January 14, 2023"
http://ufcstats.com/event-details/5717efc6f271cd52,"Rio de Janeiro, Rio de Janeiro, Brazil","January 21, 2023"
http://ufcstats.com/event-details/01dd4cdc2446f665,"Perth, Western Australia, Australia","February 11, 2023"
